country,year,CPI,PPI,Share_Prices,Interest_Rate,GDP_per_capita,Exchange_Rate,Unemployment,Expenditure,Manufacturing
United States,2000,78.97072076,71.84680621,94.14420563,6.844844188,44726.9654,1,3.9,1.06E+13,1.55E+12
United States,2001,81.20256846,72.64074341,88.61505947,4.626756864,44728.59747,1,5.7,1.09E+13,1.49E+12
United States,2002,82.49046688,70.97618188,77.22778479,3.045071185,45087.36728,1,6,1.14E+13,1.50E+12
United States,2003,84.36307882,74.76993865,75.38348036,2.224101123,45980.51458,1,5.7,1.20E+13,1.59E+12
United States,2004,86.62167812,79.39372068,91.50847622,1.604588936,47287.59377,1,5.4,1.28E+13,1.70E+12
United States,2005,89.56053237,85.20389751,101.6825832,2.981356774,48499.81238,1,4.9,1.38E+13,1.75E+12
United States,2006,92.44970508,89.18260556,115.6334945,4.786447658,49405.7673,1,4.4,1.46E+13,1.85E+12
United States,2007,95.08699238,93.46355106,133.4818474,5.223405842,49856.28149,1,5,1.52E+13,1.91E+12
United States,2008,98.73747739,102.629917,111.2242239,3.082411337,49319.47886,1,7.3,1.54E+13,1.87E+12
United States,2009,98.38641997,93.59888127,84.28466244,2.468828895,47648.81325,1,9.9,1.48E+13,1.70E+12
United States,2010,100,100,100,2.060736711,48466.6576,1,9.3,1.55E+13,1.79E+12
United States,2011,103.1568416,103.8722882,108.9221008,1.137338319,48861.88047,1,8.5,1.61E+13,1.79E+12
United States,2012,105.2915045,105.8043389,110.8094098,1.307083113,49595.87772,1,7.9,1.68E+13,1.79E+12
United States,2013,106.8338489,107.2451903,130.3964689,1.469299251,50160.72349,1,6.7,1.73E+13,1.84E+12
United States,2014,108.5669321,108.9398281,147.4482262,1.374742171,51051.99814,1,5.6,1.80E+13,1.87E+12
United States,2015,108.695722,107.990176,147.7310869,2.285696487,52236.11935,1,5,1.88E+13,1.90E+12
United States,2016,110.0670089,108.4486287,143.6524384,2.436850705,52746.47286,1,4.7,1.93E+13,1.88E+12
United States,2017,112.4115573,110.9701187,163.8594806,2.175694265,53636.47538,1,4.1,2.01E+13,1.93E+12
United States,2018,115.1573032,114.1874744,174.9251299,2.44449372,54953.61515,1,3.9,2.12E+13,2.01E+12
United States,2019,117.2441955,116.1195252,177.986118,3.436010469,55886.18421,1,3.5,2.20E+13,2.05E+12
Brazil,2000,52.53158274,40.07564362,24.17263397,48.50472819,8803.15258,1.829968786,9.9,6.70E+11,2.15E+11
Brazil,2001,56.1249316,45.12592343,20.86814993,45.63781871,8804.329637,2.350970797,9.61,5.72E+11,2.17E+11
Brazil,2002,60.86758058,52.645415,17.0825764,48.34043744,8954.837096,2.921882492,9.37,5.04E+11,2.21E+11
Brazil,2003,69.8241962,67.15247551,21.43803681,46.44739884,8943.828581,3.07728854,9.99,5.46E+11,2.27E+11
Brazil,2004,74.43062767,74.17679593,33.1662265,43.77915272,9346.039445,2.92627784,9.11,6.46E+11,2.48E+11
Brazil,2005,79.54366733,78.30561287,40.93334942,44.6351679,9535.418574,2.435280782,9.57,8.61E+11,2.53E+11
Brazil,2006,82.87143085,78.93918003,56.66852895,41.24032648,9805.724662,2.175136433,8.64,1.08E+12,2.57E+11
Brazil,2007,85.88900587,83.35898717,79.13831008,35.02251547,10293.53023,1.947450509,8.33,1.38E+12,2.72E+11
Brazil,2008,90.76629373,94.78387435,82.17547697,35.36675779,10710.87222,1.836026973,7.34,1.70E+12,2.84E+11
Brazil,2009,95.20298175,94.58775722,78.36377481,34.79200964,10594.98676,1.999489729,8.52,1.67E+12,2.57E+11
Brazil,2010,100,100,100,29.11580553,11286.2429,1.760206488,7.74,2.23E+12,2.81E+11
Brazil,2011,106.6364496,109.444785,91.15230159,32.83349283,11627.81024,1.674466152,6.92,2.64E+12,2.87E+11
Brazil,2012,112.3985493,115.887835,88.6946857,26.58202973,11745.77616,1.954158795,7.19,2.50E+12,2.80E+11
Brazil,2013,119.3721044,122.7556294,79.86193485,18.49887161,11993.48393,2.158732053,6.98,2.53E+12,2.89E+11
Brazil,2014,126.9272129,128.3960081,78.26143581,22.40367244,11951.20892,2.35427277,6.66,2.52E+12,2.75E+11
Brazil,2015,138.3886146,136.0790724,73.9978289,33.83234397,11431.15504,3.33169432,8.43,1.82E+12,2.52E+11
Brazil,2016,150.4825942,141.4054448,78.96478517,40.69836145,10965.97437,3.486714603,11.6,1.79E+12,2.40E+11
Brazil,2017,155.6687862,145.1237522,101.260849,41.71380787,11021.71858,3.190255448,12.82,2.05E+12,2.46E+11
Brazil,2018,161.3738142,161.4884207,121.4553745,33.10233425,11130.71897,3.6541273,12.33,1.91E+12,2.49E+11
Brazil,2019,167.3978603,208.5956702,149.7574721,31.83192759,11203.27495,3.944611075,11.93,1.88E+12,2.49E+11
Vietnam,2000,48.08840873,45.21133,42.59084162,6.905766654,765.1856605,14166.81406,2.26,31947374073,7701587146
Vietnam,2001,47.88088584,49.12122,63.87339231,6.624035466,804.1988517,14800.17622,2.76,33455648417,8575496392
Vietnam,2002,49.7151204,50.245512,39.92535328,4.166937119,846.7263023,15266.81045,2.12,36658267613,9569913349
Vietnam,2003,51.32322964,49.2231098,31.48581283,2.213057918,896.7044411,15508.93003,2.25,42725519260,10673716710
Vietnam,2004,55.30331914,57.986217,50.17511948,1.188922339,955.4472901,15740.44234,2.14,48577861044,11833341520
Vietnam,2005,59.88496268,60.98,54.34006298,-6.552887405,1018.121112,15855.65463,2.14,60348510438,13362172303
Vietnam,2006,64.32723948,65.21312,106.2761585,2.401517261,1079.062425,15990.71194,2.08,69794895040,15146739468
Vietnam,2007,69.6949931,68.21344,207.7759569,1.413637869,1145.140078,16083.31699,2.03,87654582004,17021082999
Vietnam,2008,85.80530323,87.234401,99.33864726,-5.616335289,1198.417061,16445.24435,1.79,1.12E+11,18686378154
Vietnam,2009,91.56883061,88.79,89.08922427,3.627881414,1250.795789,17799.81353,1.74,1.18E+11,19202525094
Vietnam,2010,100,100,100,0.946652654,1317.890646,19125.10669,1.11,1.25E+11,15008931942
Vietnam,2011,118.6777323,118.43,88.85790526,-3.551709174,1385.893145,20656.69737,1,1.38E+11,17121980673
