"country","year","Life_expectancy_at_birth","Real_interest_rate (%)","Gross_Savings (%)","Debt (%)","Investment (%)","Government_Expenditure (billions)","Net_Export (billions)","GDP (billions)"
"Brazil",1980,62.63,41.0637200232856,17.8678784252225,70.2993,21.434,21.617804789319,-5.957,235.024598983261
"Brazil",1981,62.976,42.4957861970488,18.63916399612,70.062485,21.213,24.5597977746854,-1.688,263.561088977129
"Brazil",1982,63.326,43.9278523708119,15.293375547994,69.82567,19.394,28.1843858461171,-2.81,281.682304161041
"Brazil",1983,63.68,45.3599185445751,13.3174689713386,69.588855,15.357,19.6407295435582,4.062,203.304515490795
"Brazil",1984,64.039,46.7919847183383,15.7580884259239,69.35204,14.483,17.3172011926828,11.337,209.023912696839
"Brazil",1985,64.406,48.2240508921014,19.0915396380057,69.115225,17.616,22.0029708287361,10.762,222.942790435299
"Brazil",1986,64.782,49.6561170658646,17.1233072990748,68.87841,17.547,28.6212234404954,5.731,268.137224729722
"Brazil",1987,65.165,51.0881832396278,21.8108981167044,68.641595,20.499,35.7711882913845,8.794,294.08411239266
"Brazil",1988,65.553,52.5202494133909,23.9404999104837,68.40478,20.907,41.6033025346565,16.145,330.397381998489
"Brazil",1989,65.947,53.9523155871541,35.8069709608642,68.167965,22.756,65.9636015625,13.327,425.59531
"Brazil",1990,66.343,55.3843817609173,18.9177319809538,67.93115,18.542,89.12,6.986,461.951782
"Brazil",1991,66.742,56.8164479346804,18.5422817901337,67.694335,20.017,107.91,6.687,602.86
"Brazil",1992,67.141,58.2485141084436,20.0777647486859,67.45752,19.162,68.354375,11.897,400.59925
"Brazil",1993,67.539,59.6805802822067,20.1852652935166,67.220705,21.105,77.3328260869565,8.739,437.798577639752
"Brazil",1994,67.932,61.1126464559699,19.6635342670004,66.98389,22.722,88.3591428124511,5.515,558.111997497263
"Brazil",1995,68.318,62.5447126297331,14.3484424967827,66.747075,19.094,160.999653154626,-10.652,769.305386182849
"Brazil",1996,68.695,63.9767788034962,12.6849193754362,66.51026,17.255,167.966249427918,-13.512,850.426432991742
"Brazil",1997,69.061,65.4088449772594,12.1707626353169,66.273445,17.791,172.535650463822,-17.8718680082204,883.199625324675
"Brazil",1998,69.419,77.6168379979128,11.5347351585534,66.03663,18.205,173.353880137872,-17.4045089439048,863.723411632917
"Brazil",1999,69.769,67.0609170956757,10.5953854713432,65.799815,17.438,118.575189287486,-9.0246057436359,599.388579985673
"Brazil",2000,70.116,48.504728193059,13.9917128958725,65.563,19.002,123.008335720142,-8.99939703739748,655.420645476906
"Brazil",2001,70.462,45.6378187136299,13.5949169758639,70.056,18.933,108.201029589321,-6.04935470833413,559.372276081966
"Brazil",2002,70.813,48.3404374437697,15.4075368110728,78.866,17.58,100.625653655874,7.18576859491808,507.962487700024
"Brazil",2003,71.17,46.4473988422892,16.4178625497013,73.896,16.829,106.513362820929,18.8560262808164,558.319920831979
"Brazil",2004,71.531,43.7791527193086,18.8549991898542,70.167,17.928,123.606614769231,27.9628194368154,669.316654017094
"Brazil",2005,71.896,44.6351679022297,18.1140694008935,68.659,17.2,168.428953171213,35.8382001766142,891.630177251068
"Brazil",2006,72.26,41.2403264794731,18.4098122491008,65.92,17.824,210.882714706018,35.7674992619844,1107.64028961523
"Brazil",2007,72.618,35.0225154651078,19.3463662343578,63.789,19.791,264.64951538185,25.3955132764068,1397.08434995635
"Brazil",2008,72.966,35.3667577931037,19.2268514726767,61.904,21.659,319.483052459374,6.64644119019796,1695.8245659832
"Brazil",2009,73.3,34.7920096447121,16.3803620777691,65.003,18.775,327.580029808943,5.21622417302,1667.01978358508
"Brazil",2010,73.619,29.1158055318831,17.8024230813972,63.076,21.857,420.057980900409,-11.88809091498,2208.87164620282
"Brazil",2011,73.921,32.8334928312655,18.601245838058,61.204,21.895,488.425394548063,-9.74133048734499,2616.20098039216
"Brazil",2012,74.209,26.5820297289778,17.6781103410008,62.187,21.503,456.80200706569,-23.39306867482,2465.18867441503
"Brazil",2013,74.483,18.4988716075334,18.1517103223141,60.196,21.776,467.174064282733,-46.18968524762,2472.80691990167
"Brazil",2014,74.745,22.403672441435,16.1344072603668,62.307,20.566,470.409689757756,-54.977532677475,2455.99362515937
"Brazil",2015,74.994,33.832343966101,14.5293469866162,72.574,17.452,356.420992515555,-19.605142142675,1802.21437374132
"Brazil",2016,75.23,40.6983614489962,13.4217523714502,78.33,14.972,365.951078394867,13.94184991248,1795.70016899149
"Brazil",2017,75.456,41.7138078731623,13.5777700465335,84.052,15.012,416.042489189697,19.00087853647,2063.50786488688
"Brazil",2018,75.672,33.1023342476967,12.7074199591145,87.877,15.404,381.378291094203,7.37945458922,1916.94701406755
"Brazil",2019,75.881,31.8319275909869,12.5423273648873,90.36,15.916,377.022223095449,-8.94243786894501,1877.81051426036
"United States",1980,73.609756097561,5.7163904794562,22.1970547792029,85.5713684210526,23.31,453.65,-18.953,2857.307
"United States",1981,74.009756097561,8.59461978793387,23.354674916847,84.0273032581454,24.277,507.041,-15.68,3207.041
"United States",1982,74.3609756097561,8.17734743775717,21.7840300329955,82.4832380952381,22.071,554.529,-23.537,3343.789
"United States",1983,74.4634146341463,6.6181602274006,19.7925833466794,80.9391729323308,22.253,595.393,-57.135,3634.038
"United States",1984,74.5634146341464,8.14108811911498,21.9063590294563,79.3951077694236,25.096,634.728,-108.277,4037.613
"United States",1985,74.5634146341464,6.56332655995495,20.3611033839989,77.8510426065163,24.188,690.64,-121.102,4338.979
"United States",1986,74.6146341463415,6.19386027119665,18.9565491193504,76.306977443609,23.741,737.989,-138.527,4579.631
"United States",1987,74.7658536585366,5.59223790069931,19.6168655764987,74.7629122807018,23.62,776.893,-151.675,4855.215
"United States",1988,74.7658536585366,5.59038219332081,20.6314483242234,73.2188471177945,22.828,820.454,-114.66,5236.438
"United States",1989,75.0170731707317,6.69068693481143,19.7465071841576,71.6747819548872,22.514,881.429,-93.126,5641.58
